center_az_deg,center_el_deg,scenario,center_displacement_cm,max_orientation_error_deg,median_orientation_error_deg,orientation_error_horizontal_deg,orientation_error_oblique_45_deg,orientation_error_vertical_deg,jacobian_det,jacobian_scale_major,jacobian_scale_minor
12.5,-47.5,exact_true_distance,0.0,9.094947017729282e-12,3.90087961932295e-12,5.087485988042317e-12,3.495870259939693e-12,0.0,0.999999999999813,1.0000000000000209,0.9999999999997922
15.0,-47.5,exact_true_distance,8.881784197001252e-16,1.1112888387287967e-11,5.094591415399918e-12,1.0174971976084635e-11,1.9042545318370685e-12,0.0,1.000000000000024,1.0000000000001168,0.9999999999999072
17.5,-47.5,exact_true_distance,0.0,5.172751116333529e-12,2.5437429940211587e-12,5.087485988042317e-12,1.9042545318370685e-12,0.0,0.9999999999998019,0.9999999999999467,0.9999999999998552
20.0,-47.5,exact_true_distance,0.0,6.139089236967266e-12,2.5437429940211587e-12,5.087485988042317e-12,5.087485988042317e-12,0.0,1.0000000000000462,1.000000000000086,0.9999999999999603
22.5,-47.5,exact_true_distance,8.881784197001252e-16,5.115907697472721e-12,2.5508484213787597e-12,5.115907697472721e-12,2.5437429940211587e-12,0.0,0.9999999999999574,1.000000000000023,0.9999999999999343
25.0,-47.5,exact_true_distance,8.881784197001252e-16,1.3699263945454732e-11,5.087485988042317e-12,1.0174971976084635e-11,1.9042545318370685e-12,0.0,1.000000000000246,1.000000000000274,0.999999999999972
27.5,-47.5,exact_true_distance,0.0,6.536993168992922e-13,4.476419235288631e-13,0.0,6.394884621840902e-13,0.0,0.9999999999999796,1.0000000000000009,0.9999999999999787
30.0,-47.5,exact_true_distance,1.7763568394002505e-15,1.0317080523236655e-11,5.073275133327115e-12,1.0174971976084635e-11,6.352252057695296e-12,0.0,1.0000000000000906,1.0000000000001368,0.9999999999999538
32.5,-47.5,exact_true_distance,0.0,5.3859139370615594e-12,2.5579538487363607e-12,5.115907697472721e-12,3.808509063674137e-12,0.0,1.0000000000000018,1.0000000000000506,0.9999999999999512
35.0,-47.5,exact_true_distance,0.0,5.087485988042317e-12,2.5508484213787597e-12,5.087485988042317e-12,2.5437429940211587e-12,0.0,0.9999999999999574,1.000000000000023,0.9999999999999343
37.5,-47.5,exact_true_distance,0.0,1.0317080523236655e-11,5.101696842757519e-12,1.0174971976084635e-11,6.366462912410498e-12,0.0,1.0000000000000018,1.0000000000000924,0.9999999999999094
40.0,-47.5,exact_true_distance,0.0,2.2879476091475226e-11,1.0167866548727034e-11,2.034994395216927e-11,1.7820411812863313e-11,0.0,0.9999999999998685,1.0000000000001563,0.9999999999997122
42.5,-47.5,exact_true_distance,0.0,5.3859139370615594e-12,2.5579538487363607e-12,5.115907697472721e-12,3.808509063674137e-12,0.0,0.9999999999998241,0.9999999999999618,0.9999999999998623
45.0,-47.5,exact_true_distance,0.0,5.3859139370615594e-12,2.5579538487363607e-12,5.115907697472721e-12,3.822719918389339e-12,0.0,0.9999999999996465,0.999999999999873,0.9999999999997735
47.5,-47.5,exact_true_distance,0.0,7.645439836778678e-12,5.3788085097039584e-12,0.0,7.631228982063476e-12,0.0,1.0000000000000462,1.0000000000001563,0.9999999999998899
50.0,-47.5,exact_true_distance,5.0242958677880805e-15,2.5693225325085223e-11,1.2718714970105793e-11,2.546585164964199e-11,1.0174971976084635e-11,0.0,1.0000000000004015,1.0000000000004272,0.9999999999999742
-50.0,-45.0,exact_true_distance,7.944109290391274e-15,1.8388846001471393e-11,7.631228982063476e-12,1.5262457964126952e-11,0.0,0.0,1.0000000000000462,1.0000000000002116,0.9999999999998346
-47.5,-45.0,exact_true_distance,0.0,1.5688783605583012e-11,7.631228982063476e-12,1.5262457964126952e-11,5.087485988042317e-12,0.0,0.9999999999996909,0.9999999999999858,0.9999999999997051
-45.0,-45.0,exact_true_distance,0.0,9.379164112033322e-12,4.064304448547773e-12,5.115907697472721e-12,3.808509063674137e-12,0.0,0.999999999999913,1.0000000000000762,0.9999999999998368
-42.5,-45.0,exact_true_distance,7.105427357601002e-15,1.0317080523236655e-11,5.087485988042317e-12,1.0174971976084635e-11,6.366462912410498e-12,0.0,0.999999999999913,1.000000000000048,0.999999999999865
-40.0,-45.0,exact_true_distance,0.0,6.139089236967266e-12,2.5366375666635577e-12,5.087485988042317e-12,0.0,0.0,1.0000000000000462,1.000000000000086,0.9999999999999603
-37.5,-45.0,exact_true_distance,3.552713678800501e-15,1.2789769243681803e-12,8.952838470577262e-13,0.0,1.2789769243681803e-12,0.0,1.0000000000000018,1.000000000000023,0.9999999999999787
-35.0,-45.0,exact_true_distance,0.0,8.213874025386758e-12,3.112177182629239e-12,5.087485988042317e-12,2.5437429940211587e-12,0.0,0.9999999999997797,0.9999999999999891,0.9999999999997906
-32.5,-45.0,exact_true_distance,0.0,7.133849067031406e-12,2.5508484213787597e-12,5.087485988042317e-12,1.2789769243681803e-12,0.0,0.999999999999913,1.0000000000000366,0.9999999999998763
-30.0,-45.0,exact_true_distance,1.7763568394002505e-15,3.808509063674137e-12,2.6929569685307797e-12,0.0,3.808509063674137e-12,0.0,0.999999999999913,1.000000000000023,0.9999999999998899
-27.5,-45.0,exact_true_distance,3.552713678800501e-15,1.27613475342514e-11,5.087485988042317e-12,1.0174971976084635e-11,6.394884621840902e-13,0.0,0.9999999999998019,1.0000000000000346,0.9999999999997673
-25.0,-45.0,exact_true_distance,3.66205343881779e-15,5.172751116333529e-12,2.5437429940211587e-12,5.087485988042317e-12,1.9042545318370685e-12,0.0,0.9999999999999796,1.0000000000000355,0.999999999999944
-22.5,-45.0,exact_true_distance,3.66205343881779e-15,8.213874025386758e-12,3.112177182629239e-12,5.087485988042317e-12,2.5437429940211587e-12,0.0,0.9999999999997797,0.9999999999999891,0.9999999999997906
-20.0,-45.0,exact_true_distance,3.552713678800501e-15,2.5579538487363607e-12,1.7976731214730535e-12,0.0,2.5437429940211587e-12,0.0,0.9999999999998685,0.9999999999999787,0.9999999999998899
-17.5,-45.0,exact_true_distance,0.0,6.622258297284134e-12,2.5437429940211587e-12,5.115907697472721e-12,6.252776074688882e-13,0.0,0.9999999999999352,1.0000000000000386,0.9999999999998965
-15.0,-45.0,exact_true_distance,8.881784197001252e-16,8.071765478234738e-12,3.808509063674137e-12,7.631228982063476e-12,1.9042545318370685e-12,0.0,0.9999999999998463,0.9999999999999976,0.9999999999998488
-12.5,-45.0,exact_true_distance,0.0,7.318590178329032e-12,5.151434834260726e-12,0.0,7.318590178329032e-12,0.0,0.9999999999997686,1.000000000000012,0.9999999999997566
-10.0,-45.0,exact_true_distance,0.0,2.7000623958883807e-12,1.2718714970105793e-12,2.5437429940211587e-12,6.252776074688882e-13,0.0,0.9999999999999796,1.0000000000000147,0.9999999999999649
-7.5,-45.0,exact_true_distance,0.0,1.645616976020392e-11,7.631228982063476e-12,1.5262457964126952e-11,3.183231456205249e-12,0.0,0.9999999999998463,1.0000000000000775,0.9999999999997689
-5.0,-45.0,exact_true_distance,2.220446049250313e-16,1.1851852832478471e-11,5.094591415399918e-12,1.0174971976084635e-11,6.252776074688882e-13,0.0,0.9999999999998463,1.0000000000000413,0.999999999999805
-2.5,-45.0,exact_true_distance,0.0,8.86757334228605e-12,3.673505943879718e-12,5.115907697472721e-12,8.355982572538778e-12,0.0,0.9999999999998046,1.0000000000000129,0.9999999999997917
0.0,-45.0,exact_true_distance,0.0,4.433786671143025e-12,3.126388037344441e-12,0.0,4.433786671143025e-12,0.0,0.9999999999998457,1.0000000000000002,0.9999999999998455
2.5,-45.0,exact_true_distance,0.0,8.895995051716454e-12,3.680611371237319e-12,5.087485988042317e-12,3.254285729781259e-12,0.0,0.9999999999998046,1.0000000000000129,0.9999999999997917
5.0,-45.0,exact_true_distance,2.220446049250313e-16,1.1851852832478471e-11,5.087485988042317e-12,1.0174971976084635e-11,9.549694368615746e-12,0.0,0.9999999999998463,1.0000000000000413,0.999999999999805
7.5,-45.0,exact_true_distance,0.0,1.6470380614919122e-11,7.631228982063476e-12,1.5234036254696548e-11,1.2079226507921703e-11,0.0,0.9999999999998463,1.0000000000000775,0.9999999999997689
10.0,-45.0,exact_true_distance,0.0,2.6858515411731787e-12,1.2647660696529783e-12,2.5579538487363607e-12,1.9042545318370685e-12,0.0,0.9999999999999796,1.0000000000000147,0.9999999999999649
12.5,-45.0,exact_true_distance,0.0,7.318590178329032e-12,5.151434834260726e-12,0.0,7.318590178329032e-12,0.0,0.9999999999997686,1.000000000000012,0.9999999999997566
15.0,-45.0,exact_true_distance,8.881784197001252e-16,8.071765478234738e-12,3.815614491031738e-12,7.617018127348274e-12,5.7411853049416095e-12,0.0,0.9999999999998463,0.9999999999999976,0.9999999999998488
17.5,-45.0,exact_true_distance,0.0,6.622258297284134e-12,2.5366375666635577e-12,5.087485988042317e-12,5.7269744502264075e-12,0.0,0.9999999999999352,1.0000000000000386,0.9999999999998965
20.0,-45.0,exact_true_distance,3.552713678800501e-15,2.5579538487363607e-12,1.7976731214730535e-12,0.0,2.5437429940211587e-12,0.0,0.9999999999998685,0.9999999999999787,0.9999999999998899
22.5,-45.0,exact_true_distance,3.66205343881779e-15,8.22808488010196e-12,3.11928260998684e-12,5.115907697472721e-12,7.631228982063476e-12,0.0,0.9999999999997797,0.9999999999999891,0.9999999999997906
25.0,-45.0,exact_true_distance,3.66205343881779e-15,5.158540261618327e-12,2.5437429940211587e-12,5.115907697472721e-12,3.183231456205249e-12,0.0,0.9999999999999796,1.0000000000000355,0.999999999999944
27.5,-45.0,exact_true_distance,3.552713678800501e-15,1.2747136679536197e-11,5.094591415399918e-12,1.0174971976084635e-11,1.0828671292983927e-11,0.0,0.9999999999998019,1.0000000000000346,0.9999999999997673
30.0,-45.0,exact_true_distance,1.7763568394002505e-15,3.808509063674137e-12,2.6929569685307797e-12,0.0,3.808509063674137e-12,0.0,0.999999999999913,1.000000000000023,0.9999999999998899
32.5,-45.0,exact_true_distance,0.0,7.133849067031406e-12,2.5579538487363607e-12,5.115907697472721e-12,6.366462912410498e-12,0.0,0.999999999999913,1.0000000000000366,0.9999999999998763
35.0,-45.0,exact_true_distance,0.0,8.22808488010196e-12,3.11928260998684e-12,5.115907697472721e-12,7.631228982063476e-12,0.0,0.9999999999997797,0.9999999999999891,0.9999999999997906
37.5,-45.0,exact_true_distance,3.552713678800501e-15,1.2789769243681803e-12,8.952838470577262e-13,0.0,1.2789769243681803e-12,0.0,1.0000000000000018,1.000000000000023,0.9999999999999787
40.0,-45.0,exact_true_distance,0.0,6.124878382252064e-12,2.5437429940211587e-12,5.115907697472721e-12,5.087485988042317e-12,0.0,1.0000000000000462,1.000000000000086,0.9999999999999603
42.5,-45.0,exact_true_distance,7.105427357601002e-15,1.0317080523236655e-11,5.073275133327115e-12,1.0174971976084635e-11,3.808509063674137e-12,0.0,0.999999999999913,1.000000000000048,0.999999999999865
45.0,-45.0,exact_true_distance,0.0,9.379164112033322e-12,4.078515303262975e-12,5.087485988042317e-12,8.895995051716454e-12,0.0,0.999999999999913,1.0000000000000762,0.9999999999998368
47.5,-45.0,exact_true_distance,0.0,1.567457275086781e-11,7.631228982063476e-12,1.5234036254696548e-11,1.0174971976084635e-11,0.0,0.9999999999996909,0.9999999999999858,0.9999999999997051
50.0,-45.0,exact_true_distance,7.944109290391274e-15,1.8388846001471393e-11,7.631228982063476e-12,1.5234036254696548e-11,1.5276668818842154e-11,0.0,1.0000000000000462,1.0000000000002116,0.9999999999998346
-50.0,-42.5,exact_true_distance,5.0242958677880805e-15,8.213874025386758e-12,3.112177182629239e-12,5.087485988042317e-12,2.5579538487363607e-12,0.0,1.000000000000135,1.0000000000001668,0.9999999999999682
-47.5,-42.5,exact_true_distance,0.0,1.0587086762825493e-11,5.087485988042317e-12,5.087485988042317e-12,1.0174971976084635e-11,0.0,1.0000000000000462,1.0000000000001634,0.9999999999998828
-45.0,-42.5,exact_true_distance,0.0,1.0317080523236655e-11,5.087485988042317e-12,1.0174971976084635e-11,3.822719918389339e-12,0.0,0.9999999999997353,0.9999999999999591,0.9999999999997762
-42.5,-42.5,exact_true_distance,3.552713678800501e-15,1.2789769243681803e-12,8.952838470577262e-13,0.0,1.2647660696529783e-12,0.0,0.999999999999913,0.9999999999999787,0.9999999999999343
-40.0,-42.5,exact_true_distance,0.0,8.213874025386758e-12,3.112177182629239e-12,5.087485988042317e-12,2.5437429940211587e-12,0.0,0.9999999999999574,1.000000000000078,0.9999999999998794
-37.5,-42.5,exact_true_distance,0.0,7.133849067031406e-12,2.5508484213787597e-12,5.087485988042317e-12,1.2789769243681803e-12,0.0,0.999999999999913,1.0000000000000366,0.9999999999998763
-35.0,-42.5,exact_true_distance,0.0,6.139089236967266e-12,2.5437429940211587e-12,5.115907697472721e-12,5.087485988042317e-12,0.0,0.9999999999998685,0.9999999999999971,0.9999999999998714
-32.5,-42.5,exact_true_distance,0.0,1.0345502232667059e-11,5.101696842757519e-12,1.0174971976084635e-11,3.808509063674137e-12,0.0,1.0000000000000018,1.0000000000000924,0.9999999999999094
-30.0,-42.5,exact_true_distance,1.7763568394002505e-15,1.1240786079724785e-11,3.815614491031738e-12,7.617018127348274e-12,1.0174971976084635e-11,0.0,0.9999999999998241,1.0000000000000415,0.9999999999997826
