gaze_az_deg,gaze_el_deg,median_abs_delta_po_deg,p90_abs_delta_po_deg,fraction_abs_delta_po_gt_threshold,median_signed_delta_po_deg,median_circular_variance_change,median_tuning_strength_change,median_abs_tuning_strength_change,population_response_correlation,median_per_neuron_response_change,median_relative_response_change,fraction_large_response_change,rdm_similarity_to_baseline,image_discriminability,shifted_image_discriminability,condition,summary_radius
5.0,5.0,9.486045611394601,37.27510808502709,0.48125,2.2913456275408777,0.006685732644729825,-0.006685732644729825,0.07828901332427424,-0.009475904583279389,7.833354265549205,1.060669888606224,0.975,0.4107391474178852,0.9645812799327296,0.971429542687612,gaze_only_perfect_noiseless,10.0
0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,1.0,0.9645812799327296,0.9645812799327296,gaze_plus_mapping_error_noiseless,0.0
1.0,0.0,1.6801664697551075,13.524672285732487,0.14375,0.4506748736652071,-0.0006805117442104658,0.0006805117442104658,0.022438238643632924,0.9416355139800705,2.5244000609603754,0.4126389220148968,0.3625,0.9803508462895655,0.9645812799327296,0.9683072036744443,gaze_plus_mapping_error_noiseless,1.0
2.0,0.0,3.822814194754315,23.18954337650884,0.275,0.6379426624184248,-0.004577460608633899,0.004577460608633899,0.027881121643541174,0.8025015252911464,4.672407946681448,0.7612192946647208,0.71875,0.9354491905136256,0.9645812799327296,0.958711973702337,gaze_plus_mapping_error_noiseless,2.0
3.0,0.0,5.633300030137676,27.163292250471926,0.3375,0.6207915701707662,-0.00501095972347837,0.00501095972347837,0.04708764825317657,0.625495432406567,6.152574873209682,0.9509249854912807,0.825,0.9224085936369771,0.9645812799327296,0.9565917140003097,gaze_plus_mapping_error_noiseless,3.0
4.0,0.0,7.579500790063122,37.00840831646458,0.41875,0.41980615993284687,-0.003936446199071575,0.003936446199071575,0.053731586196227255,0.44385624379877797,7.259665474619533,1.0529116464148096,0.89375,0.9370283514766183,0.9645812799327296,0.9737376566165212,gaze_plus_mapping_error_noiseless,4.0
5.0,0.0,9.591869930240037,37.14254033942522,0.4875,0.2604702151313347,-0.018174855437060433,0.018174855437060433,0.08095267986565735,0.29115994243202303,7.872630660665479,1.0583697976438744,0.94375,0.9271473683633753,0.9645812799327296,0.989130873763443,gaze_plus_mapping_error_noiseless,5.0
0.0,1.0,2.398536612745957,7.831199761216313,0.08125,-0.13581437197072432,0.0003085728495261786,-0.0003085728495261786,0.017090512350300346,0.923903749411529,2.512606043077872,0.3842833823355248,0.36875,0.9844679526420212,0.9645812799327296,0.9657618033933438,gaze_plus_mapping_error_noiseless,1.0
1.0,1.0,2.563566024715243,14.781204100703851,0.175,0.2078123435781123,0.004006547263939231,-0.004006547263939231,0.025757731591035615,0.8833718789438928,3.411099305578561,0.5319166556519443,0.51875,0.9537855225843758,0.9645812799327296,0.974074293629928,gaze_plus_mapping_error_noiseless,2.0
2.0,1.0,4.2183391751040205,23.085641137659486,0.2625,0.7467467021836853,6.1158961968788e-05,-6.1158961968788e-05,0.04016165265826954,0.7574600830608108,5.1667409804068845,0.8370936158583566,0.775,0.9049121641528618,0.9645812799327296,0.9747956004440079,gaze_plus_mapping_error_noiseless,3.0
3.0,1.0,6.073689373597546,34.4913295444393,0.35,0.5891016758406238,-0.007974011069024123,0.007974011069024123,0.050764872222390456,0.5840401771059022,6.331434997767168,0.9813924901051863,0.86875,0.8985345806004912,0.9645812799327296,0.9724284286078214,gaze_plus_mapping_error_noiseless,4.0
4.0,1.0,7.7912764812301845,36.66100517024887,0.425,0.5002308139986766,-0.004812129245297503,0.004812129245297503,0.06720324272426981,0.4041544790540744,7.416691770338371,1.0440968442933865,0.925,0.9310782419460422,0.9645812799327296,0.9803102565990571,gaze_plus_mapping_error_noiseless,5.0
5.0,1.0,10.340676813661105,36.937481701784115,0.5125,1.7190689833529404,-0.01322010637379556,0.01322010637379556,0.08001950814870545,0.253529255524013,7.997510455787971,1.0930744584196308,0.9375,0.913992942372386,0.9645812799327296,0.9806627011562395,gaze_plus_mapping_error_noiseless,6.0
0.0,2.0,3.8252885970368595,17.186867252232435,0.20625,0.2910958576851783,0.003955495662903985,-0.003955495662903985,0.03613532906404815,0.7353298693374182,4.698779454288553,0.7559830206141633,0.7125,0.9214161540389983,0.9645812799327296,0.9706386820796853,gaze_plus_mapping_error_noiseless,2.0
1.0,2.0,3.3165341623340225,23.759768437463293,0.2375,0.020353392083080735,-3.0543877824085186e-05,3.0543877824085186e-05,0.037404484817000705,0.72696430078823,4.297370799798473,0.6901319221242759,0.7,0.8903194294962732,0.9645812799327296,0.9805937105653799,gaze_plus_mapping_error_noiseless,3.0
2.0,2.0,4.266054175897423,27.668826036079466,0.3,0.717034347045086,-0.0016444778874631916,0.0016444778874631916,0.048129876690804874,0.6310189725458749,5.438154887965112,0.875485665820015,0.8,0.8662714104550782,0.9645812799327296,0.9751529506591156,gaze_plus_mapping_error_noiseless,4.0
3.0,2.0,6.433013206733165,34.76167119679858,0.3875,0.8379886262098353,-0.007201681711605679,0.007201681711605679,0.0587674800051281,0.4800693828109363,6.4796889061272545,0.9991222843102321,0.85,0.8736676207297881,0.9645812799327296,0.9705822584968054,gaze_plus_mapping_error_noiseless,5.0
4.0,2.0,7.761448782306545,36.46573431196075,0.4125,1.6739725945167123,-0.001838716732246004,0.001838716732246004,0.07289125597370422,0.3169458601336261,7.356173360246627,1.0612233540642861,0.9125,0.9122497423942019,0.9645812799327296,0.978230503350752,gaze_plus_mapping_error_noiseless,6.0
5.0,2.0,10.434120406677835,33.960151186536685,0.50625,1.4820291458595705,-0.008657418724988042,0.008657418724988042,0.0710443491311854,0.18385915300966468,7.459532601103566,1.0964417791324839,0.925,0.8803765332182618,0.9645812799327296,0.9791409900500925,gaze_plus_mapping_error_noiseless,7.0
0.0,3.0,4.83480058114489,27.890801533763096,0.3,0.2370186788184796,0.0039086350035058,-0.0039086350035058,0.05098731774141091,0.5165550656803116,6.01042832970435,0.9883050508931167,0.8625,0.8607954282887113,0.9645812799327296,0.981880286173914,gaze_plus_mapping_error_noiseless,3.0
1.0,3.0,4.623712729984447,35.004850676693586,0.325,0.15624777667920853,0.0013381283269153776,-0.0013381283269153776,0.04476460118779668,0.5368429688308266,5.793916036387715,0.9471629279164142,0.83125,0.8492763348550673,0.9645812799327296,0.9947461036920987,gaze_plus_mapping_error_noiseless,4.0
2.0,3.0,5.5843645689999235,28.69859858958908,0.3375,0.9081733851003833,0.0007715045365671025,-0.0007715045365671025,0.06351700632796686,0.4731660121283021,6.592806374821926,0.9930879874650422,0.84375,0.8155979465738817,0.9645812799327296,0.9868553130063508,gaze_plus_mapping_error_noiseless,5.0
3.0,3.0,7.105208306515976,28.363526196756677,0.375,0.7471478951651562,0.00033737533386002383,-0.00033737533386002383,0.07469513095233138,0.3505100255211552,7.073863560370524,1.0095132737591554,0.90625,0.8155770729586564,0.9645812799327296,0.974077592964437,gaze_plus_mapping_error_noiseless,6.0
4.0,3.0,9.197833090211816,33.02574120419509,0.45625,1.6393402103865924,0.002530973115499935,-0.002530973115499935,0.06815929227369999,0.21276709871855512,7.34067893091829,1.0460643442953472,0.9375,0.8498660602797039,0.9645812799327296,0.9798183305030372,gaze_plus_mapping_error_noiseless,7.0
5.0,3.0,9.10684532922734,32.206966510299345,0.4625,1.7469999524197846,-0.002417744505004482,0.002417744505004482,0.08023475740483493,0.10204740756576042,7.504337739802972,1.035370067059731,0.95625,0.8185279138833564,0.9645812799327296,0.9819682756569869,gaze_plus_mapping_error_noiseless,8.0
0.0,4.0,6.253207118751547,31.243088745638193,0.3625,0.6299955677282156,0.0015981647234653007,-0.0015981647234653007,0.061829093742786057,0.3389316365792019,7.490002383286944,1.0668320045097008,0.9375,0.8073697678917344,0.9645812799327296,0.9997848593221664,gaze_plus_mapping_error_noiseless,4.0
1.0,4.0,6.631961853070962,33.756958217872445,0.3625,0.2932812561272726,0.0070686429099692805,-0.0070686429099692805,0.05711682468246221,0.366386476420186,7.050836814091719,1.035382214711067,0.89375,0.8244979495435424,0.9645812799327296,1.0040649450350474,gaze_plus_mapping_error_noiseless,5.0
2.0,4.0,6.920890588532728,30.52123710312131,0.35625,0.336438206877375,0.0036352058046456026,-0.0036352058046456026,0.059837064766275594,0.3226511156079679,7.321734535647081,1.0201344695331331,0.9125,0.7916409959447241,0.9645812799327296,0.9971995534180973,gaze_plus_mapping_error_noiseless,6.0
3.0,4.0,7.627502745732357,31.853037995068444,0.40625,1.8136807653923839,0.006257457011769163,-0.006257457011769163,0.07131052297648938,0.22475270418745336,7.317309597432516,1.0358328600734665,0.95,0.7236690510891148,0.9645812799327296,0.9741238341992348,gaze_plus_mapping_error_noiseless,7.0
4.0,4.0,8.546934691863413,32.08335676454263,0.4125,1.847212709556203,0.0016463839481333786,-0.0016463839481333786,0.06713636774352133,0.11218900579885549,7.412904480199478,1.032942495097619,0.95625,0.6669370223980942,0.9645812799327296,0.9683295501548848,gaze_plus_mapping_error_noiseless,8.0
5.0,4.0,9.07141220009433,34.324111334276004,0.46875,2.0596608053924683,-0.00031312123945836934,0.00031312123945836934,0.07615386637660754,0.025542056451924686,7.665976962026884,1.0371588017504982,0.9625,0.6385239715619773,0.9645812799327296,0.9742830273207168,gaze_plus_mapping_error_noiseless,9.0
0.0,5.0,6.951295518960251,30.997216667977842,0.36875,0.3850615477739723,-0.003819207282217074,0.003819207282217074,0.06455186821060338,0.21217341443488474,8.596594188870426,1.1211666501975395,0.99375,0.6933843512173884,0.9645812799327296,1.0057736317159842,gaze_plus_mapping_error_noiseless,5.0
1.0,5.0,7.407452560027082,33.17717543407588,0.425,0.048884260216723874,0.012578691865220426,-0.012578691865220426,0.06797855971817501,0.23309928948534575,8.153901295950394,1.1251128624622555,0.95625,0.690824354497596,0.9645812799327296,1.0030385978875784,gaze_plus_mapping_error_noiseless,6.0
2.0,5.0,8.498005389338275,36.44052878939676,0.45,0.6020178292523894,0.009774056849234047,-0.009774056849234047,0.07860425562888024,0.20595037706527036,8.011505277376282,1.077080418573014,0.9625,0.6635870177970535,0.9645812799327296,0.9950412748144128,gaze_plus_mapping_error_noiseless,7.0
3.0,5.0,8.744472953575467,34.531460391832866,0.4625,1.1577596362733757,0.00947345494122176,-0.00947345494122176,0.07011755915711704,0.12994685068620004,8.259083888250705,1.0577837453769017,0.96875,0.5798515627732068,0.9645812799327296,0.9710120350521487,gaze_plus_mapping_error_noiseless,8.0
4.0,5.0,8.842788842778447,34.508846202910036,0.45625,1.2083885203153955,-0.002144200765056725,0.002144200765056725,0.07605859630686185,0.0395923947813338,8.06899555568298,1.021971564767474,0.98125,0.450058885718438,0.9645812799327296,0.9581928667308983,gaze_plus_mapping_error_noiseless,9.0
